text,author,time,text_clean
Hak maling😂😂,@muhammadsaidsaid129,1 bulan yang lalu,hak maling
Hellehh,@choirulanam3949,1 bulan yang lalu,hellehh
kapan kiamatnya,@dwiyanto5422,1 bulan yang lalu,kapan kiamatnya
"oh pak jokowi top, Alhamdulillah blm tentu kita sebaik beliai",@dwiyanto5422,1 bulan yang lalu,oh pak jokowi top alhamdulillah blm tentu kita sebaik beliai
diadili dulu sajikan fakta2,@dwiyanto5422,1 bulan yang lalu,diadili dulu sajikan fakta
belum diadili,@dwiyanto5422,1 bulan yang lalu,belum diadili
Lgi di atur skenario nya duluu..kndrama ..udh di tttpkn blm di than😂😂😂..bgtu jga dgn riduwan Kamil..rmh udh di gledah barng ada yng di sita...blm jga di tttpkn trsngka..dn blm jls smpai skrng...😂😂klu yng kroco2 Kya noeeeeel lngsung di THN dn skrng udh sidang..😂😂😂,@sukirmankirman2542,1 bulan yang lalu,lgi di atur skenario nya duluukndrama udh di tttpkn blm di thanbgtu jga dgn riduwan kamilrmh udh di gledah barng ada yng di sitablm jga di tttpkn trsngkadn blm jls smpai skrngklu yng kroco kya noeeeeel lngsung di thn dn skrng udh sidang
"He....he....biar hukum berproses, doakan saja yg terbaik, semoga yg salah sesuai dg keputusan pengadilan mendapatkan hukuman, yg tdk salah tetap tegak mendapatkan kebenaran dan keadilan",@dwiyanto5422,1 bulan yang lalu,hehebiar hukum berproses doakan saja yg terbaik semoga yg salah sesuai dg keputusan pengadilan mendapatkan hukuman yg tdk salah tetap tegak mendapatkan kebenaran dan keadilan
Hahaa kecewa yaaaaaaa,@choirulanam3949,1 bulan yang lalu,hahaa kecewa yaaaaaaa
Kpk2 np ni orang blon di bui aneh dgn hukum ni,@yayatnia2502,1 bulan yang lalu,kpk np ni orang blon di bui aneh dgn hukum ni
KPK bertele2 dah Thu korupsi msh d ulur2 ...penjara langsung,@ToniLoow-j9c,1 bulan yang lalu,kpk bertele dah thu korupsi msh d ulur penjara langsung
Lum rampung msih rundingan😂,@Indonesiaku592,1 bulan yang lalu,lum rampung msih rundingan
"Rakyat NKRI ,apapun omongan yg keluar dari mulut mantan menteri agama ini sudah tidak bisa di percaya lagi",@SaifulAnwar-x2q,1 bulan yang lalu,rakyat nkri apapun omongan yg keluar dari mulut mantan menteri agama ini sudah tidak bisa di percaya lagi
KPK.omon2,@istiqomahIstiqomah-e5d,1 bulan yang lalu,kpkomon
😊,@warenjefersonsilawang9295,1 bulan yang lalu,
pengadilannya gmn...?,@dwiyanto5422,1 bulan yang lalu,pengadilannya gmn
tanya PK hkim,@ToniLoow-j9c,1 bulan yang lalu,tanya pk hkim
Rakyat kecil yg miskin harus antri puluhan tahun utk bisa berangkat haji.  Jangan khianati rakyat kecil yg miskin,@duo_channel2267,1 tahun yang lalu,rakyat kecil yg miskin harus antri puluhan tahun utk bisa berangkat haji  jangan khianati rakyat kecil yg miskin
"Jangan di tindak lanjuti aj...
Usut sampai tuntas secepatnya....
Buktikan nyalimu KPK
Sebagai lembaga yg Digdaya
Jangan sampai melempem",@YanuarErvinadi,1 tahun yang lalu,"jangan di tindak lanjuti aj
usut sampai tuntas secepatnya
buktikan nyalimu kpk
sebagai lembaga yg digdaya
jangan sampai melempem"
KPK gak akan berani mengusut korupsi di kemenag mereka satu kandang sama sama koruptor,@helmimarzuki,1 tahun yang lalu,kpk gak akan berani mengusut korupsi di kemenag mereka satu kandang sama sama koruptor
Proses secepatnya korupsi kuota haji,@dewa-v9h,1 tahun yang lalu,proses secepatnya korupsi kuota haji
TANGKAP,@WARGANU1,1 tahun yang lalu,tangkap
Ayo KPK....tunjukan bahwa kalian masih berfungsi....,@agussupriadi6083,1 tahun yang lalu,ayo kpktunjukan bahwa kalian masih berfungsi
"Sepi kali kalo yg nonton, gara2 bawa2 junjungan Newcastle  United 😂",@mediatamaadi1619,3 bulan yang lalu,sepi kali kalo yg nonton gara bawa junjungan newcastle  united 
KPK gerombolan tikus juga,@karlheinzyassirguderian,3 bulan yang lalu,kpk gerombolan tikus juga
Alhamdulillah,@ruslanruslan8059,3 bulan yang lalu,alhamdulillah
Alhamdulillah.,@hani747,3 bulan yang lalu,alhamdulillah
Tinggal Bahlil Luhut Zulhas dan termul lainnnya,@JamesMoby19,3 bulan yang lalu,tinggal bahlil luhut zulhas dan termul lainnnya
TUMBEN TERMUL DITERSANGKA KAN😂😂😂,@radenkiansantang-fv6tn,3 bulan yang lalu,tumben termul ditersangka kan
Setelah ini KPK harus panggil gubernur Bobby karena hakim meminta untuk di panggil..dan mantan menteri agama emang seharusnya hanya KPK segan dari dulu.. rakyat klu begini pasti dukung seratus persen,@JT606,3 bulan yang lalu,setelah ini kpk harus panggil gubernur bobby karena hakim meminta untuk di panggildan mantan menteri agama emang seharusnya hanya kpk segan dari dulu rakyat klu begini pasti dukung seratus persen
"Kok cuma dua orang 😂😂😂😂😂 tersangka.
Wah...ini permainan apa lagi 😂😂😂",@user678yv78,3 bulan yang lalu,"kok cuma dua orang  tersangka
wahini permainan apa lagi "
Josss,@Kenedi-j2g,3 bulan yang lalu,josss
Tahan enggak ya .....lihat endingnya,@SitiKomirah,3 bulan yang lalu,tahan enggak ya lihat endingnya
"Ya begitulah kelompok yg sering teriak2 wahabi, membuat kerusakan dimana2.",@MeongNgaswaja,3 bulan yang lalu,ya begitulah kelompok yg sering teriak wahabi membuat kerusakan dimana
Rakyat kecil yg miskin harus antri puluhan tahun utk bisa berangkat haji.  Jangan khianati rakyat kecil yg miskin,@duo_channel2267,1 tahun yang lalu,rakyat kecil yg miskin harus antri puluhan tahun utk bisa berangkat haji  jangan khianati rakyat kecil yg miskin
"Jangan di tindak lanjuti aj...
Usut sampai tuntas secepatnya....
Buktikan nyalimu KPK
Sebagai lembaga yg Digdaya
Jangan sampai melempem",@YanuarErvinadi,1 tahun yang lalu,"jangan di tindak lanjuti aj
usut sampai tuntas secepatnya
buktikan nyalimu kpk
sebagai lembaga yg digdaya
jangan sampai melempem"
KPK gak akan berani mengusut korupsi di kemenag mereka satu kandang sama sama koruptor,@helmimarzuki,1 tahun yang lalu,kpk gak akan berani mengusut korupsi di kemenag mereka satu kandang sama sama koruptor
Proses secepatnya korupsi kuota haji,@dewa-v9h,1 tahun yang lalu,proses secepatnya korupsi kuota haji
TANGKAP,@WARGANU1,1 tahun yang lalu,tangkap
Ayo KPK....tunjukan bahwa kalian masih berfungsi....,@agussupriadi6083,1 tahun yang lalu,ayo kpktunjukan bahwa kalian masih berfungsi
"Sepi kali kalo yg nonton, gara2 bawa2 junjungan Newcastle  United 😂",@mediatamaadi1619,3 bulan yang lalu,sepi kali kalo yg nonton gara bawa junjungan newcastle  united 
KPK gerombolan tikus juga,@karlheinzyassirguderian,3 bulan yang lalu,kpk gerombolan tikus juga
Alhamdulillah,@ruslanruslan8059,3 bulan yang lalu,alhamdulillah
Alhamdulillah.,@hani747,3 bulan yang lalu,alhamdulillah
Tinggal Bahlil Luhut Zulhas dan termul lainnnya,@JamesMoby19,3 bulan yang lalu,tinggal bahlil luhut zulhas dan termul lainnnya
TUMBEN TERMUL DITERSANGKA KAN😂😂😂,@radenkiansantang-fv6tn,3 bulan yang lalu,tumben termul ditersangka kan
Setelah ini KPK harus panggil gubernur Bobby karena hakim meminta untuk di panggil..dan mantan menteri agama emang seharusnya hanya KPK segan dari dulu.. rakyat klu begini pasti dukung seratus persen,@JT606,3 bulan yang lalu,setelah ini kpk harus panggil gubernur bobby karena hakim meminta untuk di panggildan mantan menteri agama emang seharusnya hanya kpk segan dari dulu rakyat klu begini pasti dukung seratus persen
"Kok cuma dua orang 😂😂😂😂😂 tersangka.
Wah...ini permainan apa lagi 😂😂😂",@user678yv78,3 bulan yang lalu,"kok cuma dua orang  tersangka
wahini permainan apa lagi "
Josss,@Kenedi-j2g,3 bulan yang lalu,josss
Tahan enggak ya .....lihat endingnya,@SitiKomirah,3 bulan yang lalu,tahan enggak ya lihat endingnya
"Ya begitulah kelompok yg sering teriak2 wahabi, membuat kerusakan dimana2.",@MeongNgaswaja,3 bulan yang lalu,ya begitulah kelompok yg sering teriak wahabi membuat kerusakan dimana
Hahaha aneh aneh susah disentuh junjungannya,@indranoor681,4 hari yang lalu,hahaha aneh aneh susah disentuh junjungannya
"Kerugian negara  100 milliar, tapi keuntungan Yakult bisa  triliunan 🤔",@pips_99,4 minggu yang lalu,kerugian negara   milliar tapi keuntungan yakult bisa  triliunan 
Buat apa rakyat ngasih duit kalau cuma dicolongin terus,@SuyantoBayu-z1z,4 minggu yang lalu,buat apa rakyat ngasih duit kalau cuma dicolongin terus
Hukum pancung rajam maling duit kuota haji,@SuyantoBayu-z1z,1 bulan yang lalu,hukum pancung rajam maling duit kuota haji
"Alhamdulillah.... Bukan Ustadz Khalid......

😂",@AdnMoko,2 bulan yang lalu,"alhamdulillah bukan ustadz khalid

"
MALENG.!!!,@afwalan9520,2 bulan yang lalu,maleng
"[21/1 04.19] M. Nurul Huda: Kajian penetapan tersangka tipikor keoada mantan menag, gys Yaqut.
1 . Penerapan tsb harus ada 2 alat bukrinya, yg menyingkap adanya tindakan nelawan hukum, dan adanya kerugian nyata pada keuangan negara.
2 . Dugaan melawan hukum dalam kebijakan menag  ybtuk kuota tambahan yg memutuskan 50% ubtuk kuota reguler dan 50% untuk kuota khusus itu sudah benar, tidak mwlawan hulum karena:
A]. Sudah sesuai dg kewenangan menag yg telah diatur dalam Uu hajji Pssal 9 ayat 1 dan ayat 2.
Kewenangan ini tanpa syarat harus sepertujuan DPRRI. 
Jika ada yg menyatakan bahwa kebijakan menag tersebut harus diseruhui DPRRI, sesuai dg UU no 14, maka busa dijawab bahwa kebijakan itu diambil pada tahun 2024 sebelum UU no 14 terbit.
UU no 14 baru terbit fh 2025.
[21/1 05.09] M. Nurul Huda: B]. Sudah ada mou antara pemerintah Saudi dan pemerintah Indonecsia untuk pembagian kuota tambahan tsb.50%- 50%.
C].Kondisi Arafah, muzdLifah dan mina yg belum ada penambahan oleh pe.erintah saudi terhadap fasilitas tenda2 untuk jama'ah Indonesia, bahkan kondisi di mina yg justru luas tempat untuk MABIT selama 3 hari itu berkurang 2 hektar untuk wc umum. Kemudian di muzdalifah th 2023 ada ribuan bus macet parah, jamaah yg seharusnya pagi sudah nyampai di mina, ternyata terjebak macet, jam 2 siang baru terurai kemacetannya, berdampak jamaah tidak nendapat pelayanan makan pagi dan siang, banyak korban wafat pada tahun 2023.
Dg adanya hajji khusus, maka mereka melakukan tanazul dari mina dg alasan very crowded ke hotel2 diMakkah dan sekitarnya dan jelas mengurangi penumpukan jamaah kita dimina.
Semua orang yg memahami semua kontek tsb pasti akan setuju dg kebijakan menag saat itu, disamping memang sudah menjadi kewenangannya.
[21/1 05.14] M. Nurul Huda: D]. Jika masih ada yg punya dugaan bahwa kebijakan menag saat itu salah dan melawan hukum, maka perlu adanya keputusan PTUN untuk itu. 
tidak boleh lembaga selain ptun mempersalahkannya.
[21/1 05.27] M. Nurul Huda: 3]. KPK sudah benar meminta BPK untuk menghitung kerugian keuangan negara, akan tetapi sampai saat ini BPK belum melaksanakan audit [ audit untuk dugaan korupsi itu audit investigatif], sampai saat ini belum ada hasilnya, bahkan laporan reguler BPK ada efeciensi penggunaan dana kemenag sebesar 601 milyar.makanya keputusan kpk untuk mentersan gkakan mantan menag itu sebuah anomali.
3 . Jika kpk menemukan bukti suap, maka siapa saja yg terbukti menyuap dan terbukti menerima suap bisa diproses hukum.",@khm.nurulhuda9785,2 bulan yang lalu,"  m nurul huda kajian penetapan tersangka tipikor keoada mantan menag gys yaqut
  penerapan tsb harus ada  alat bukrinya yg menyingkap adanya tindakan nelawan hukum dan adanya kerugian nyata pada keuangan negara
  dugaan melawan hukum dalam kebijakan menag  ybtuk kuota tambahan yg memutuskan  ubtuk kuota reguler dan  untuk kuota khusus itu sudah benar tidak mwlawan hulum karena
a sudah sesuai dg kewenangan menag yg telah diatur dalam uu hajji pssal  ayat  dan ayat 
kewenangan ini tanpa syarat harus sepertujuan dprri 
jika ada yg menyatakan bahwa kebijakan menag tersebut harus diseruhui dprri sesuai dg uu no  maka busa dijawab bahwa kebijakan itu diambil pada tahun  sebelum uu no  terbit
uu no  baru terbit fh 
  m nurul huda b sudah ada mou antara pemerintah saudi dan pemerintah indonecsia untuk pembagian kuota tambahan tsb 
ckondisi arafah muzdlifah dan mina yg belum ada penambahan oleh peerintah saudi terhadap fasilitas tenda untuk jamaah indonesia bahkan kondisi di mina yg justru luas tempat untuk mabit selama  hari itu berkurang  hektar untuk wc umum kemudian di muzdalifah th  ada ribuan bus macet parah jamaah yg seharusnya pagi sudah nyampai di mina ternyata terjebak macet jam  siang baru terurai kemacetannya berdampak jamaah tidak nendapat pelayanan makan pagi dan siang banyak korban wafat pada tahun 
dg adanya hajji khusus maka mereka melakukan tanazul dari mina dg alasan very crowded ke hotel dimakkah dan sekitarnya dan jelas mengurangi penumpukan jamaah kita dimina
semua orang yg memahami semua kontek tsb pasti akan setuju dg kebijakan menag saat itu disamping memang sudah menjadi kewenangannya
  m nurul huda d jika masih ada yg punya dugaan bahwa kebijakan menag saat itu salah dan melawan hukum maka perlu adanya keputusan ptun untuk itu 
tidak boleh lembaga selain ptun mempersalahkannya
  m nurul huda  kpk sudah benar meminta bpk untuk menghitung kerugian keuangan negara akan tetapi sampai saat ini bpk belum melaksanakan audit  audit untuk dugaan korupsi itu audit investigatif sampai saat ini belum ada hasilnya bahkan laporan reguler bpk ada efeciensi penggunaan dana kemenag sebesar  milyarmakanya keputusan kpk untuk mentersan gkakan mantan menag itu sebuah anomali
  jika kpk menemukan bukti suap maka siapa saja yg terbukti menyuap dan terbukti menerima suap bisa diproses hukum"
"Ada saksi kuat, Yaqut difitnah,dikriminalisasi,karena kebijakan penentuan kuota haji tambahan sbg kebijakan pemerintah Saudi 50%:50% adalah kebijakan pemerintahan Jokowi dengan pertimbangan kenyamanan beribadah demi kemanusiaan sbg antisipasi meningkatnya angka kematian karena kurangnya fasilitas tempat ibadah terutama saat di Mina ,Yaqut bersama presiden telah sepakat dan telah dibuatkan regulasinya dalam undang undang haji kala itu ,untuk lebih jelasnya maka untuk pembongkaran kasus KPK harus memanggil mantan presiden Joko Widodo, begitu cerita yang sebenarnya",@Wakhidin-r6b,3 bulan yang lalu,ada saksi kuat yaqut difitnahdikriminalisasikarena kebijakan penentuan kuota haji tambahan sbg kebijakan pemerintah saudi  adalah kebijakan pemerintahan jokowi dengan pertimbangan kenyamanan beribadah demi kemanusiaan sbg antisipasi meningkatnya angka kematian karena kurangnya fasilitas tempat ibadah terutama saat di mina yaqut bersama presiden telah sepakat dan telah dibuatkan regulasinya dalam undang undang haji kala itu untuk lebih jelasnya maka untuk pembongkaran kasus kpk harus memanggil mantan presiden joko widodo begitu cerita yang sebenarnya
"Tolong jangan panggil pake inisial lagi seperti YQ gitu... Sebeutkan nama lengkap aja biar seluruh masyarakat tau Nama lengkap Sang Koruptor yg merasa paling Pancasilais ini....  Dana Umat loe, Untuk Ibadah loe ini... Kok kepikiran si B*ngs*t ini buat korupsi, betul2 zolim",@thewomanofprinces6200,3 bulan yang lalu,tolong jangan panggil pake inisial lagi seperti yq gitu sebeutkan nama lengkap aja biar seluruh masyarakat tau nama lengkap sang koruptor yg merasa paling pancasilais ini  dana umat loe untuk ibadah loe ini kok kepikiran si bngst ini buat korupsi betul zolim
"dua kata lucu 2026 ""GUS KORUPSI""",@MuhamadDini33,3 bulan yang lalu,dua kata lucu  gus korupsi
Komandannya pasukan elit Banser dan gp anshor di ciduk KPK 🤣,@irwanKayaraya,3 bulan yang lalu,komandannya pasukan elit banser dan gp anshor di ciduk kpk 
Layak di hukum mati Yacup Cholil  Comas manusia .biadab  koropsi uang Jemaah Haji,@sudarismanputra3324,3 bulan yang lalu,layak di hukum mati yacup cholil  comas manusia biadab  koropsi uang jemaah haji
"Jadi, siapapun menteri agamanya dia siap2 jadi TSK, sebelumnya Pak Surya darma ali sekarang Gus yakut. Sudah puluhan tahun sistem haji model regular diterapkan di kemenag. Ini sama saja MEMAKSA orang tdk punya/miskin untuk mendaftar haji dengan menyetor uang ke pemerintah dulu dan mencicil tiap bulannya selama bertahun2..padahal ayat quran mengatakan : حج البيت من استطاع اليه سبيلا =Haji itu wajib bagi orang ""mampu"". Jaman dulu orang2 berangkat haji karena punya UANG tanpa menunggu bertahun2...cukup jual sawah/10 ekor sapi langsung Gass ndaftar dan berangkat layaknya Furoda. Dengan adanya sistem regular ini jadi celah/keran untuk korupsi para prngusaha dan pejabat di kemenag. Saya setuju sistem kuota haji ya FURODA.gak usah ada regular.jadi haji benar2 bagi yang mampu.",@masbimo1407,3 bulan yang lalu,jadi siapapun menteri agamanya dia siap jadi tsk sebelumnya pak surya darma ali sekarang gus yakut sudah puluhan tahun sistem haji model regular diterapkan di kemenag ini sama saja memaksa orang tdk punyamiskin untuk mendaftar haji dengan menyetor uang ke pemerintah dulu dan mencicil tiap bulannya selama bertahunpadahal ayat quran mengatakan        haji itu wajib bagi orang mampu jaman dulu orang berangkat haji karena punya uang tanpa menunggu bertahuncukup jual sawah ekor sapi langsung gass ndaftar dan berangkat layaknya furoda dengan adanya sistem regular ini jadi celahkeran untuk korupsi para prngusaha dan pejabat di kemenag saya setuju sistem kuota haji ya furodagak usah ada regularjadi haji benar bagi yang mampu
Sebaiknya.gusyakup.dilepaskan.saja.dikandangsinga,@RevoRevostg,3 bulan yang lalu,sebaiknyagusyakupdilepaskansajadikandangsinga
"lllahh ....gmn .sarana buat ibadah aja di korupsi..astagfiirulloh... para koruptor SDH hilang akal sehatnya....usut tuntas ,sy dukung KPK...",@UupPadiuloh,3 bulan yang lalu,lllahh gmn sarana buat ibadah aja di korupsiastagfiirulloh para koruptor sdh hilang akal sehatnyausut tuntas sy dukung kpk
Yakul2... nti diminum di kubur,@candrasekar623,3 bulan yang lalu,yakul nti diminum di kubur
Dalam televisi ada yang bilang bahwa korupsi itu diajarkan menurut perintah yang tertulis buatan+karangan manusia dalam kitab suci nya😂😂😂😂😂😂,@MendriNiKetut,3 bulan yang lalu,dalam televisi ada yang bilang bahwa korupsi itu diajarkan menurut perintah yang tertulis buatankarangan manusia dalam kitab suci nya
Banser NU..ketua mu..Laknatullah...,@akukamu-jd3jj,3 bulan yang lalu,banser nuketua mulaknatullah
