text,author,time
Sudah jelas . Apalagi segera di hukum,@ZulherMan-m9s,1 bulan yang lalu
"KPK Gak punya keberanian,",@mustayardimustayardi1665,1 bulan yang lalu
Kumpulan kawan2 nya yaqut sang mega korupsi harus di telusuri juga,@JainulArif-i5o,1 bulan yang lalu
Nggak jelas ..koruptornya canggih KPK-nya sudah nggak ada taringnya lgi..bubarin aja kpk karna sudah tidak efektif seperti dulu jaman Abraham samad.kpk skrng cuma formalitas dan koruptornya nggak ada yg takutblagi,@Rholieztp62afze,1 bulan yang lalu
Knp beliau belom di tahan?,@tille_tv,1 bulan yang lalu
"PAKE SOGOKAN APA NIH ORANG LOM DITAHAN TAHAN JUGA AMA KPK, 

REZIM MULYONO BRUTAL MEMANG 
😂Y",@beruanghitam357,1 bulan yang lalu
Hak maling😂😂,@muhammadsaidsaid129,1 bulan yang lalu
Hellehh,@choirulanam3949,1 bulan yang lalu
kapan kiamatnya,@dwiyanto5422,1 bulan yang lalu
"oh pak jokowi top, Alhamdulillah blm tentu kita sebaik beliai",@dwiyanto5422,1 bulan yang lalu
diadili dulu sajikan fakta2,@dwiyanto5422,1 bulan yang lalu
belum diadili,@dwiyanto5422,1 bulan yang lalu
Lgi di atur skenario nya duluu..kndrama ..udh di tttpkn blm di than😂😂😂..bgtu jga dgn riduwan Kamil..rmh udh di gledah barng ada yng di sita...blm jga di tttpkn trsngka..dn blm jls smpai skrng...😂😂klu yng kroco2 Kya noeeeeel lngsung di THN dn skrng udh sidang..😂😂😂,@sukirmankirman2542,1 bulan yang lalu
"He....he....biar hukum berproses, doakan saja yg terbaik, semoga yg salah sesuai dg keputusan pengadilan mendapatkan hukuman, yg tdk salah tetap tegak mendapatkan kebenaran dan keadilan",@dwiyanto5422,1 bulan yang lalu
Hahaa kecewa yaaaaaaa,@choirulanam3949,1 bulan yang lalu
Kpk2 np ni orang blon di bui aneh dgn hukum ni,@yayatnia2502,1 bulan yang lalu
KPK bertele2 dah Thu korupsi msh d ulur2 ...penjara langsung,@ToniLoow-j9c,1 bulan yang lalu
Lum rampung msih rundingan😂,@Indonesiaku592,1 bulan yang lalu
"Rakyat NKRI ,apapun omongan yg keluar dari mulut mantan menteri agama ini sudah tidak bisa di percaya lagi",@SaifulAnwar-x2q,1 bulan yang lalu
KPK.omon2,@istiqomahIstiqomah-e5d,1 bulan yang lalu
😊,@warenjefersonsilawang9295,1 bulan yang lalu
pengadilannya gmn...?,@dwiyanto5422,1 bulan yang lalu
tanya PK hkim,@ToniLoow-j9c,1 bulan yang lalu
Rakyat kecil yg miskin harus antri puluhan tahun utk bisa berangkat haji.  Jangan khianati rakyat kecil yg miskin,@duo_channel2267,1 tahun yang lalu
"Jangan di tindak lanjuti aj...
Usut sampai tuntas secepatnya....
Buktikan nyalimu KPK
Sebagai lembaga yg Digdaya
Jangan sampai melempem",@YanuarErvinadi,1 tahun yang lalu
KPK gak akan berani mengusut korupsi di kemenag mereka satu kandang sama sama koruptor,@helmimarzuki,1 tahun yang lalu
Proses secepatnya korupsi kuota haji,@dewa-v9h,1 tahun yang lalu
TANGKAP,@WARGANU1,1 tahun yang lalu
Ayo KPK....tunjukan bahwa kalian masih berfungsi....,@agussupriadi6083,1 tahun yang lalu
"Sepi kali kalo yg nonton, gara2 bawa2 junjungan Newcastle  United 😂",@mediatamaadi1619,3 bulan yang lalu
KPK gerombolan tikus juga,@karlheinzyassirguderian,3 bulan yang lalu
Alhamdulillah,@ruslanruslan8059,3 bulan yang lalu
Alhamdulillah.,@hani747,3 bulan yang lalu
Tinggal Bahlil Luhut Zulhas dan termul lainnnya,@JamesMoby19,3 bulan yang lalu
TUMBEN TERMUL DITERSANGKA KAN😂😂😂,@radenkiansantang-fv6tn,3 bulan yang lalu
Setelah ini KPK harus panggil gubernur Bobby karena hakim meminta untuk di panggil..dan mantan menteri agama emang seharusnya hanya KPK segan dari dulu.. rakyat klu begini pasti dukung seratus persen,@JT606,3 bulan yang lalu
"Kok cuma dua orang 😂😂😂😂😂 tersangka.
Wah...ini permainan apa lagi 😂😂😂",@user678yv78,3 bulan yang lalu
Josss,@Kenedi-j2g,3 bulan yang lalu
Tahan enggak ya .....lihat endingnya,@SitiKomirah,3 bulan yang lalu
"Ya begitulah kelompok yg sering teriak2 wahabi, membuat kerusakan dimana2.",@MeongNgaswaja,3 bulan yang lalu
Rakyat kecil yg miskin harus antri puluhan tahun utk bisa berangkat haji.  Jangan khianati rakyat kecil yg miskin,@duo_channel2267,1 tahun yang lalu
"Jangan di tindak lanjuti aj...
Usut sampai tuntas secepatnya....
Buktikan nyalimu KPK
Sebagai lembaga yg Digdaya
Jangan sampai melempem",@YanuarErvinadi,1 tahun yang lalu
KPK gak akan berani mengusut korupsi di kemenag mereka satu kandang sama sama koruptor,@helmimarzuki,1 tahun yang lalu
Proses secepatnya korupsi kuota haji,@dewa-v9h,1 tahun yang lalu
TANGKAP,@WARGANU1,1 tahun yang lalu
Ayo KPK....tunjukan bahwa kalian masih berfungsi....,@agussupriadi6083,1 tahun yang lalu
"Sepi kali kalo yg nonton, gara2 bawa2 junjungan Newcastle  United 😂",@mediatamaadi1619,3 bulan yang lalu
KPK gerombolan tikus juga,@karlheinzyassirguderian,3 bulan yang lalu
Alhamdulillah,@ruslanruslan8059,3 bulan yang lalu
Alhamdulillah.,@hani747,3 bulan yang lalu
Tinggal Bahlil Luhut Zulhas dan termul lainnnya,@JamesMoby19,3 bulan yang lalu
TUMBEN TERMUL DITERSANGKA KAN😂😂😂,@radenkiansantang-fv6tn,3 bulan yang lalu
Setelah ini KPK harus panggil gubernur Bobby karena hakim meminta untuk di panggil..dan mantan menteri agama emang seharusnya hanya KPK segan dari dulu.. rakyat klu begini pasti dukung seratus persen,@JT606,3 bulan yang lalu
"Kok cuma dua orang 😂😂😂😂😂 tersangka.
Wah...ini permainan apa lagi 😂😂😂",@user678yv78,3 bulan yang lalu
Josss,@Kenedi-j2g,3 bulan yang lalu
Tahan enggak ya .....lihat endingnya,@SitiKomirah,3 bulan yang lalu
"Ya begitulah kelompok yg sering teriak2 wahabi, membuat kerusakan dimana2.",@MeongNgaswaja,3 bulan yang lalu
Hahaha aneh aneh susah disentuh junjungannya,@indranoor681,4 hari yang lalu
"Kerugian negara  100 milliar, tapi keuntungan Yakult bisa  triliunan 🤔",@pips_99,4 minggu yang lalu
Buat apa rakyat ngasih duit kalau cuma dicolongin terus,@SuyantoBayu-z1z,4 minggu yang lalu
Hukum pancung rajam maling duit kuota haji,@SuyantoBayu-z1z,1 bulan yang lalu
"Alhamdulillah.... Bukan Ustadz Khalid......

😂",@AdnMoko,2 bulan yang lalu
MALENG.!!!,@afwalan9520,2 bulan yang lalu
"[21/1 04.19] M. Nurul Huda: Kajian penetapan tersangka tipikor keoada mantan menag, gys Yaqut.
1 . Penerapan tsb harus ada 2 alat bukrinya, yg menyingkap adanya tindakan nelawan hukum, dan adanya kerugian nyata pada keuangan negara.
2 . Dugaan melawan hukum dalam kebijakan menag  ybtuk kuota tambahan yg memutuskan 50% ubtuk kuota reguler dan 50% untuk kuota khusus itu sudah benar, tidak mwlawan hulum karena:
A]. Sudah sesuai dg kewenangan menag yg telah diatur dalam Uu hajji Pssal 9 ayat 1 dan ayat 2.
Kewenangan ini tanpa syarat harus sepertujuan DPRRI. 
Jika ada yg menyatakan bahwa kebijakan menag tersebut harus diseruhui DPRRI, sesuai dg UU no 14, maka busa dijawab bahwa kebijakan itu diambil pada tahun 2024 sebelum UU no 14 terbit.
UU no 14 baru terbit fh 2025.
[21/1 05.09] M. Nurul Huda: B]. Sudah ada mou antara pemerintah Saudi dan pemerintah Indonecsia untuk pembagian kuota tambahan tsb.50%- 50%.
C].Kondisi Arafah, muzdLifah dan mina yg belum ada penambahan oleh pe.erintah saudi terhadap fasilitas tenda2 untuk jama'ah Indonesia, bahkan kondisi di mina yg justru luas tempat untuk MABIT selama 3 hari itu berkurang 2 hektar untuk wc umum. Kemudian di muzdalifah th 2023 ada ribuan bus macet parah, jamaah yg seharusnya pagi sudah nyampai di mina, ternyata terjebak macet, jam 2 siang baru terurai kemacetannya, berdampak jamaah tidak nendapat pelayanan makan pagi dan siang, banyak korban wafat pada tahun 2023.
Dg adanya hajji khusus, maka mereka melakukan tanazul dari mina dg alasan very crowded ke hotel2 diMakkah dan sekitarnya dan jelas mengurangi penumpukan jamaah kita dimina.
Semua orang yg memahami semua kontek tsb pasti akan setuju dg kebijakan menag saat itu, disamping memang sudah menjadi kewenangannya.
[21/1 05.14] M. Nurul Huda: D]. Jika masih ada yg punya dugaan bahwa kebijakan menag saat itu salah dan melawan hukum, maka perlu adanya keputusan PTUN untuk itu. 
tidak boleh lembaga selain ptun mempersalahkannya.
[21/1 05.27] M. Nurul Huda: 3]. KPK sudah benar meminta BPK untuk menghitung kerugian keuangan negara, akan tetapi sampai saat ini BPK belum melaksanakan audit [ audit untuk dugaan korupsi itu audit investigatif], sampai saat ini belum ada hasilnya, bahkan laporan reguler BPK ada efeciensi penggunaan dana kemenag sebesar 601 milyar.makanya keputusan kpk untuk mentersan gkakan mantan menag itu sebuah anomali.
3 . Jika kpk menemukan bukti suap, maka siapa saja yg terbukti menyuap dan terbukti menerima suap bisa diproses hukum.",@khm.nurulhuda9785,2 bulan yang lalu
"Ada saksi kuat, Yaqut difitnah,dikriminalisasi,karena kebijakan penentuan kuota haji tambahan sbg kebijakan pemerintah Saudi 50%:50% adalah kebijakan pemerintahan Jokowi dengan pertimbangan kenyamanan beribadah demi kemanusiaan sbg antisipasi meningkatnya angka kematian karena kurangnya fasilitas tempat ibadah terutama saat di Mina ,Yaqut bersama presiden telah sepakat dan telah dibuatkan regulasinya dalam undang undang haji kala itu ,untuk lebih jelasnya maka untuk pembongkaran kasus KPK harus memanggil mantan presiden Joko Widodo, begitu cerita yang sebenarnya",@Wakhidin-r6b,3 bulan yang lalu
"Tolong jangan panggil pake inisial lagi seperti YQ gitu... Sebeutkan nama lengkap aja biar seluruh masyarakat tau Nama lengkap Sang Koruptor yg merasa paling Pancasilais ini....  Dana Umat loe, Untuk Ibadah loe ini... Kok kepikiran si B*ngs*t ini buat korupsi, betul2 zolim",@thewomanofprinces6200,3 bulan yang lalu
"dua kata lucu 2026 ""GUS KORUPSI""",@MuhamadDini33,3 bulan yang lalu
Komandannya pasukan elit Banser dan gp anshor di ciduk KPK 🤣,@irwanKayaraya,3 bulan yang lalu
Layak di hukum mati Yacup Cholil  Comas manusia .biadab  koropsi uang Jemaah Haji,@sudarismanputra3324,3 bulan yang lalu
"Jadi, siapapun menteri agamanya dia siap2 jadi TSK, sebelumnya Pak Surya darma ali sekarang Gus yakut. Sudah puluhan tahun sistem haji model regular diterapkan di kemenag. Ini sama saja MEMAKSA orang tdk punya/miskin untuk mendaftar haji dengan menyetor uang ke pemerintah dulu dan mencicil tiap bulannya selama bertahun2..padahal ayat quran mengatakan : حج البيت من استطاع اليه سبيلا =Haji itu wajib bagi orang ""mampu"". Jaman dulu orang2 berangkat haji karena punya UANG tanpa menunggu bertahun2...cukup jual sawah/10 ekor sapi langsung Gass ndaftar dan berangkat layaknya Furoda. Dengan adanya sistem regular ini jadi celah/keran untuk korupsi para prngusaha dan pejabat di kemenag. Saya setuju sistem kuota haji ya FURODA.gak usah ada regular.jadi haji benar2 bagi yang mampu.",@masbimo1407,3 bulan yang lalu
Sebaiknya.gusyakup.dilepaskan.saja.dikandangsinga,@RevoRevostg,3 bulan yang lalu
"lllahh ....gmn .sarana buat ibadah aja di korupsi..astagfiirulloh... para koruptor SDH hilang akal sehatnya....usut tuntas ,sy dukung KPK...",@UupPadiuloh,3 bulan yang lalu
Yakul2... nti diminum di kubur,@candrasekar623,3 bulan yang lalu
Dalam televisi ada yang bilang bahwa korupsi itu diajarkan menurut perintah yang tertulis buatan+karangan manusia dalam kitab suci nya😂😂😂😂😂😂,@MendriNiKetut,3 bulan yang lalu
Banser NU..ketua mu..Laknatullah...,@akukamu-jd3jj,3 bulan yang lalu
Biadab orang nunggu haji sampai tua uzur umurnya Mlah di jual quota nya harus hukum mati.. Yaqut,@slametriyadi6318,3 bulan yang lalu (diedit)
"Korupsi kuota haji hrs di hukum mati ,,,,",@Sunhaji-eo5ss,3 bulan yang lalu
Korupsinya itu dia ngambil uang negara atau hanya merugikan negara ?,@Jajanpasar02,3 bulan yang lalu
Yg namanya maling biarpun menag ya tetap maling.,@matickisaran4148,3 bulan yang lalu
Lambat ...hayoo kpk...,@karsidi2577,3 bulan yang lalu
Dan salafi yg di fitnah mereka... seharusnya ulama2 seperti mereka yg harus di sebut wahabi😂,@AntoMajid77,3 bulan yang lalu
Musang berbulu domba inilah si yakut.😢😢😢,@TfinPutra,3 bulan yang lalu
Ya Alloh seorang menteri Agama korupsi,@mumus9147,3 bulan yang lalu
"Kenapa negara muslim tidak Islami....
Karena law nya tempe
Polandia minus korupsi sangat islami sebab
Lawnya ketat❤",@abduljalil3d67,3 bulan yang lalu
BUZZER NGGAK NGATAIN MUNAFIK & JUALAN AGAMA?,@mpye-1,3 bulan yang lalu
Hukum mati,@burhanuddin8770,3 bulan yang lalu
"Penistaan terhadap NU. NKRI harga mati dinodai oleh PETINGGI banom NU
OKNUM? oknum kok petinggi",@megaPuspita-h5d,3 bulan yang lalu
"ndak cocok dipanggil gus.... ada yang tau, cocoknya dipanggil apa ?",@ariefrahmad6823,3 bulan yang lalu
Di era yakut yng speaker azan dimasalahin smoga org ini di susahkan hidup nya,@nasrulaja7473,3 bulan yang lalu
Miskinkan dan Pidana yang Berat untuk efek Jera buat koruptor yang lain seperti RK 😂😂😂,@Cornel369,3 bulan yang lalu
YANG TERIAK PALING TOLERAN TERNYATA MALING 😂😂😂,@aryawidura4320,3 bulan yang lalu (diedit)
"YAQUT KEBANGGAAN BANSER & NU, SI PALING NKRI TERNYATA KORUPTOR.

HUKUM PANCUNG SI YAQUT KORUPTOR JAHANAM.",@Tujuh_Enam,3 bulan yang lalu
"Muka si yakul mirip garong, dableg, rampok",@vivobogor9459,3 bulan yang lalu
"Turut prihatin atas peristiwa tersebut..
😮😢",@Masboy0606,3 bulan yang lalu
Dipakani negara malah korupsi. Kalo mau korupsi ke neraka aja sana!,@asokomedia,3 bulan yang lalu
Keparat.. Kuota haji Suci Di maling juga.. Gak peduli gus.. Gebukin saja..,@Mirza_123,3 bulan yang lalu
"😊😊😊😂😂❤❤❤❤
* YAAA... YAA...YA.
* ADA TITIK TERANG KASUS KUOTA HAJI...
* TAPI HANYA SATU TITIK SAJA..
* BERARTI SUDAH SELESAI, TIDAK DIPROSES LANJUT..  !!!

WKWKWKKK...😂😂😂",@212jakarta-yy6lq,3 bulan yang lalu
Rumahnya di Sita atoa di Jual Uangnya bagikan ke para Calon haji yg Ribuan.yg gagal berangkat. Koruoptornya.dihukum seberatnya.arak dulu keliling indonesia.Kakinya di Rante.biar Malu..😊,@asepnugraha8085,3 bulan yang lalu
Mana nih pendukung Newcastle United,@niev6912,3 bulan yang lalu
Gini gelar Gus klakuan maling,@fanyafifatul9310,3 bulan yang lalu
"SIAP SIAP DI SIKSA DI DALAM KUBUR , ALGOJO UDAH MENUNGGU ....",@HermawanHermawan-g3h,3 bulan yang lalu
"Memalukan...... 
mencoreng nama NKRI, 
Penduduk mayoritas muslim terbanyak,  di dunia... 
Dana haji pun,  di grogoti",@solahnasution3382,3 bulan yang lalu
Saya setuju orang ini dihukum mati.,@NyaiRatnasuminar,3 bulan yang lalu
Jgn hanya mentri yg jdi tersangka.telusuri aliran dana haji ke mana..krn mentri pasti jlni perintah arasan..,@mariodanel2225,3 bulan yang lalu
Agus yakul...munafikun kamu..😂,@titikrasyidahtitik2783,3 bulan yang lalu
Ahmad dani girang banget ni..,@imamwahyudi5406,3 bulan yang lalu
Byk yg gagal naik haji gara ku bul..udud bul😂😂,@Last1292-w9n,3 bulan yang lalu
Bul bul gembool 😂,@Last1292-w9n,3 bulan yang lalu
Licin seperti belut rupanya tidak,@Lalu-i2d9d,3 bulan yang lalu
Pak Prabowo mau bersihkan sampah negara....,@RealmeC71-w5u,3 bulan yang lalu
"Alhamdulillah, bahagia aku mendengarnya",@nasrullah1088,3 bulan yang lalu
Minum yaqult,@atambae1132,3 bulan yang lalu
"Maling diatas Maling,mudah2 di jerat hukuman mati atau hukuman seumur hidup,,,,Amiiiiiiiiiiiiiiiiiin!!!",@Lnaba6046,3 bulan yang lalu (diedit)
"SANGAT DISAYANGKAN , YANG SEBETULNYA UNTUK CONTOH UMAT BERAGAMA KHUSUSNYA UMAT ISLAM , MALAH MELAKUKAN KORUPSI YG JUMLAHNYA CUKUP BESAR SEHINGGA MERUGIKAN NEGARA
*) UNTUK SETINGKAT MENTERI , TIDAK MELAKUKAN KORUPSI , SEBETULNYA KEHIDUPANYA SUDAH SENANG , YANG MANA FASILITAS  SUDAH  LENGKAP , ADA RUMAH / KENDARAAN DINAS & KESEJAHTERAAN LAINYA
*) SAYA PENSIUNAN KEMENAG DAN TUGASNYA DI KALBAR
*) BERANGKAT DARI GOL II/A , GAJINYA DIBAGI BAGI KEPERLUAN ANTARA LAIN : UNTUK KONTRAK RUMAH , DLL 
*) GAJINYA WAKTU ITU SEKITAR RP 24.000,- ( CPNSNYA ) 
*) PADAHAL TUGASNYA DULU DI KAB.KAPUAS HULU - PUTUSSIBAU ,  TEMPAT KELAHIRANYA PAK AKIL MUKHTAR  YG PERNAH  MENJADI KETUA MK DAN TERLIBAT KORUPSI",@Sidik11-i9y,3 bulan yang lalu
"Setau sy KPK di bntuk ...bukan untuk jdi Alat penguasa .....untuk memberantas korupsi siapun yg terlibat ...tpi sy liat sekrng ini ...KPK jdi alat penguasa ......sy sangat prihatin dgn kinerja ...kpk   yg seharus nya ...inkamben 
Sekrng tdk inkamben ....",@ahmadharris752,3 bulan yang lalu
Alhamdulillah orang arogan yg  sok NKRI akhir nya msk bui 😂😂😂 smg pejabat2 yg korupsi  bs di bui jg  Aamiin,@bambangpurwanto7906,3 bulan yang lalu
"semua org klo belum jadi pejabat ya baik, lurus, santun
klo udah jd lupa jln😂",@cunda-w4o,3 bulan yang lalu
Peci doank nempel ya 😂,@SlayerGodOfDeath,3 bulan yang lalu
"Gomballll......menteri agama kok nilep duit rakyat....yang begini ditunjuk jadi menteri, hanya karena jadi team sukses",@chairaniverani4101,3 bulan yang lalu
"keknya waktu itu pernah deh , tapi malah di bebasin waktu November atau Desember ya ?",@SlayerGodOfDeath,3 bulan yang lalu
ini yang katanya NU sejati yaah,@aqilla-s9k,3 bulan yang lalu
Sy setuju para koruptor diganjar hukuman mati..,@heruprasetyo1936,3 bulan yang lalu
Di Jawa gelar sama gelar habib sedang bersaing sama2 mencari keutungan dari para umat Islam yg ilmu nya rendah gampang dibohongi,@NikenSukma-y7c,3 bulan yang lalu
Ini lah yang di nama kn gus2an itu,@ilhamasikin7980,3 bulan yang lalu
Semoga busuk di penjara,@SyaharUddin-x8o,3 bulan yang lalu
akibat politik balas budi,@begeapparel9409,3 bulan yang lalu
Ternak mul akan ditangkap semua.,@sukamtotartila1514,3 bulan yang lalu
Korupsi harus di eksekusi Mati tanpa pandang bulu.,@RedmiPkl-w4u,3 bulan yang lalu
"Kalau sudah di penjara dan terbukti, apakah layak di panggil Gus ?",@MuhammadRidwan-ic3zr,3 bulan yang lalu
"untuk pemerintah kita di Indo, tolong lah hukumannya di pertegas dan yang korupsi di miskin semiskin miskin banget
ini kuota haji aja dikorupsi loh",@SV_dwaaah,3 bulan yang lalu
"MANUSIA PALING NKRI,ANTI FPI & HTI,PALING KERAS TERIAK RADIKAL..TERNYATA...MALING...!!!!",@keyla.k__,3 bulan yang lalu
"Menteri ngaku paling NKRI tp ternyata dengan harga korupsi. .
Pejabat di negara ini jangan di percaya kalu teriak paling NKRI. .",@iwanridwan5513,3 bulan yang lalu
"Bukan kelasnya jadi Mentri dijadikan Mentri agama.
Yg cocok jadi bandar judol x ya 😵‍💫🤣🤣🖕",@ekomurbianto9428,3 bulan yang lalu
Nu mna nih nu?,@salmanalfarisi6849,3 bulan yang lalu
"Udah lah k p k jgn malu malu, uda lepas kan aja lah kasus kayak goti kok bertele tele yakulkul kan termul.",@fatimahfsaai2025,3 bulan yang lalu
Memalukan orang NU saja..,@mohammadRidwan-w3y,3 bulan yang lalu
Duga an... Doang..,@BasukiKenanga,3 bulan yang lalu
N k r i..harga mati..yg korupsi hukum matiiii...,@ahmadsuwito4087,3 bulan yang lalu
"APAKAH POLITIK BALAS BUDI ITU ADA?
JIKA BENAR ADA POLITIK BALAS BUDI,SUDAH PASTI YANG TIDAK BERKOMPETEN DI BIDANGNYA TIDAK MENJADI SOAL.",@DikiKusnadi-bc1kh,3 bulan yang lalu
Gus Bukan Identitas org Muslim,@Om-Om2941,3 bulan yang lalu
"narasi nya yg dirugikan negara, padahal naik haji rakyat yg bayar",@AgusMuchalis,3 bulan yang lalu
Mari kita GEBUK rame2 Badut Ini,@yudiandra8821,3 bulan yang lalu
Gebukin aja tuman,@jexjangkrik7310,3 bulan yang lalu
Tega2nya ambil hak calon haji yg sdh menunggu lama dan menyicil sedikit demi sedikit😢😢😢😢,@ashari4021,3 bulan yang lalu
katanya anak kiai ra jujur poye jadi gorong maling rampok uang rakyat,@rubanna-qn9ie,3 bulan yang lalu
Mengerti dasar agama  tapi  nggak dipakai ilmunya  .Ibadah haji lagi yang dikorop,@sridwihartati8063,3 bulan yang lalu
"Bikin kecewa, padhl gelarnya Gus keturunan kiyai atau ulama",@mashanoro6517,3 bulan yang lalu
"Yaqut harus dihukum mati, ini yang menggagalkan saya untuk pergi naik Haji, thn 2021  ,2022, dan 2023. Jatah saya di jual oleh Yaqut.",@hanafithamrin9014,3 bulan yang lalu
"Yg paling nkri, yg paling agamis, paling nu ternyata cuma maling njirr",@suksmawanhendrawijaya3436,3 bulan yang lalu
"Jangankan uang haji, uang Alquran aja di korop. Dimana moral bangsa kita ini, tokoh nya kok begitu.",@SudriSudri-q4d,3 bulan yang lalu
Malu2in,@mashanoro6517,3 bulan yang lalu
Andai koruptor yang nyikat duwit milyaran dihukum mati.... Pejabat pasti berpikir duakali untuk korupsi.😢,@yogayogi4720,3 bulan yang lalu
Malingnya nyentrik ya luuuuurr sangat profesional,@AyamBakar-m1m,3 bulan yang lalu
Memang era jokowi yg akan ikut haji juga pernah dipakai buat infrastruktur  yaitu dana abadi haji,@usririzal,3 bulan yang lalu
